DATE,IMPCH
1998-10-01,7377.7
1998-11-01,6374.1
1998-12-01,5322.1
1999-01-01,5654.0
1999-02-01,5563.1
1999-03-01,5204.0
1999-04-01,5818.9
1999-05-01,6363.1
1999-06-01,7117.4
1999-07-01,7405.7
1999-08-01,8022.1
1999-09-01,8198.2
1999-10-01,8207.9
1999-11-01,7543.5
1999-12-01,6690.3
2000-01-01,6902.1
2000-02-01,6584.4
2000-03-01,6424.1
2000-04-01,7070.5
2000-05-01,7850.2
2000-06-01,8541.7
2000-07-01,9246.4
2000-08-01,10054.0
2000-09-01,10061.7
2000-10-01,10611.6
2000-11-01,9066.8
2000-12-01,7604.7
2001-01-01,8427.5
2001-02-01,6375.6
2001-03-01,7590.2
2001-04-01,7686.8
2001-05-01,7757.9
2001-06-01,8398.2
2001-07-01,8975.3
2001-08-01,10042.9
2001-09-01,9927.8
2001-10-01,10808.3
2001-11-01,8878.8
2001-12-01,7409.1
2002-01-01,8415.4
2002-02-01,8020.8
2002-03-01,7259.0
2002-04-01,9097.6
2002-05-01,9846.9
2002-06-01,10727.2
2002-07-01,11213.2
2002-08-01,12671.4
2002-09-01,12291.5
2002-10-01,11455.0
2002-11-01,12569.6
2002-12-01,11625.0
2003-01-01,11403.497575000001
2003-02-01,9629.62711
2003-03-01,10110.044562
2003-04-01,11521.852381999997
2003-05-01,11884.701493000002
2003-06-01,12127.301428999997
2003-07-01,13438.635089999998
2003-08-01,13764.867007999997
2003-09-01,14747.525417999996
2003-10-01,16458.317607000005
2003-11-01,14156.947961000002
2003-12-01,13192.779263000002
2004-01-01,14089.015496
2004-02-01,11267.147675
2004-03-01,13800.119971000002
2004-04-01,14744.78415
2004-05-01,15067.110923000004
2004-06-01,16887.762590999995
2004-07-01,17562.099879
2004-08-01,18067.867052
2004-09-01,18386.945745000005
2004-10-01,19718.157481
2004-11-01,19678.992143
2004-12-01,17412.030828999996
2005-01-01,17885.84061
2005-02-01,16937.594812
2005-03-01,16184.944951999996
2005-04-01,18148.458159999995
2005-05-01,19053.18688
2005-06-01,20976.701857
2005-07-01,21272.669460000005
2005-08-01,22421.292347999995
2005-09-01,23294.481679
2005-10-01,24382.852725999997
2005-11-01,22426.128316
2005-12-01,20485.952995000003
2006-01-01,21382.505907000002
2006-02-01,17905.353467000004
2006-03-01,20531.25833
2006-04-01,21459.069932999995
2006-05-01,22317.635131
2006-06-01,23989.699396
2006-07-01,24632.010765
2006-08-01,26713.335235
2006-09-01,27570.617915
2006-10-01,29388.60173899999
2006-11-01,27775.079221000004
2006-12-01,24109.185572999995
2007-01-01,25640.562672000004
2007-02-01,23038.880362
2007-03-01,22723.044235000005
2007-04-01,24241.522773
2007-05-01,25290.574442
2007-06-01,27070.961198
2007-07-01,28601.170813999997
2007-08-01,28424.501434999995
2007-09-01,29418.96253
2007-10-01,31555.406402
2007-11-01,29780.718790999992
2007-12-01,25656.56128
2008-01-01,26193.032145000005
2008-02-01,24095.886455
2008-03-01,22440.241770000004
2008-04-01,25951.666996
2008-05-01,27634.532443
2008-06-01,27930.640534000006
2008-07-01,31247.270669
2008-08-01,31823.697888999992
2008-09-01,33078.73063099999
2008-10-01,34032.38828299999
2008-11-01,28265.02503
2008-12-01,25079.514978
2009-01-01,24743.457402
2009-02-01,18845.495210000005
2009-03-01,21224.713512999995
2009-04-01,21920.595248
2009-05-01,22734.147846
2009-06-01,23972.774237000005
2009-07-01,25671.084408999996
2009-08-01,25798.119655999995
2009-09-01,27893.916592000005
2009-10-01,29557.78286500001
2009-11-01,27541.720775
2009-12-01,26470.075735
2010-01-01,25215.919006
2010-02-01,23342.777513999998
2010-03-01,24292.213197000005
2010-04-01,25920.188140999995
2010-05-01,29052.438345
2010-06-01,32843.100035
2010-07-01,33266.83359400001
2010-08-01,35375.288431
2010-09-01,35196.698854
2010-10-01,35083.299437
2010-11-01,34564.293893
2010-12-01,30799.58314799999
2011-01-01,31377.353746000008
2011-02-01,27244.735813
2011-03-01,27599.666857
2011-04-01,29580.28270600001
2011-05-01,32788.071613
2011-06-01,34374.83079300001
2011-07-01,35152.243254
2011-08-01,37374.136523
2011-09-01,36418.64286
2011-10-01,37824.071703
2011-11-01,36764.91163599999
2011-12-01,32872.28512700001
2012-01-01,34417.54042
2012-02-01,28105.186419
2012-03-01,31431.348931
2012-04-01,33016.253834
2012-05-01,34937.829923
2012-06-01,35949.359451
2012-07-01,37930.755206
2012-08-01,37280.629144
2012-09-01,37891.823059
2012-10-01,40257.083524
2012-11-01,39543.693182
2012-12-01,34857.579544
2013-01-01,37193.658803
2013-02-01,32742.677585
2013-03-01,27294.067203
2013-04-01,33131.926306
2013-05-01,36617.62364
2013-06-01,35885.978832
2013-07-01,38800.430628
2013-08-01,39161.299515
2013-09-01,40144.392508
2013-10-01,41845.472131
2013-11-01,40112.279565
2013-12-01,37500.212876
2014-01-01,38377.19956
2014-02-01,30700.352329
2014-03-01,31420.875281
2014-04-01,36450.218795
2014-05-01,38188.13577
2014-06-01,39607.118661
2014-07-01,40319.618346
2014-08-01,40093.817085
2014-09-01,45102.77541
2014-10-01,45335.351722
2014-11-01,42483.529438
2014-12-01,40395.902459
2015-01-01,38589.696731
2015-02-01,31563.988155
2015-03-01,41136.91753
2015-04-01,36121.394467
2015-05-01,39082.029905
2015-06-01,41453.839795
2015-07-01,41215.078176
2015-08-01,44138.055272
2015-09-01,45724.951242
2015-10-01,44309.93252
2015-11-01,41884.774152
2015-12-01,37980.997419
2016-01-01,37145.835064
2016-02-01,36081.829315
2016-03-01,29827.344289
2016-04-01,32929.261556
2016-05-01,37524.346869
2016-06-01,38556.102753
2016-07-01,39460.75351
2016-08-01,43220.128846
2016-09-01,42028.217824
2016-10-01,43798.278833
2016-11-01,42605.44815
2016-12-01,39364.457545
2017-01-01,41343.083151
2017-02-01,32804.295619
2017-03-01,34186.942135
2017-04-01,37465.635527
2017-05-01,41783.058622
2017-06-01,42289.152147
2017-07-01,43589.168843
2017-08-01,45817.76786
2017-09-01,45429.719676
2017-10-01,48167.652565
2017-11-01,48127.809502
2017-12-01,44465.668732
2018-01-01,45788.04055
2018-02-01,39067.601646
2018-03-01,38256.735066
2018-04-01,38230.010004
2018-05-01,43797.369781
2018-06-01,44599.462713
2018-07-01,47096.007634
2018-08-01,47863.906454
2018-09-01,50032.120606
2018-10-01,52232.992043
2018-11-01,46525.68247
2018-12-01,46013.498775
2019-01-01,41603.830547
2019-02-01,33194.39804
